RowID,Structure,Nitrosoimine,Nitrosated_hetSub_amine,N_in_aromatic_ring,Acyclic,piperidine,N4_sub_piperazine,N4_unsub_piperazine,morpholine,pyrrolidine,ring_size_3,ring_size_4,ring_size_5,ring_size_6,ring_size_7,Et_Me_only,Has_Et_Me,Has_a_CH2,Heterosubstituted_a_carbon,Multiple_nitroso,Has_t_butyl,Has_i_propyl,One_C_aromatic,Both_C_aromatic,Allylic_Or_Propargylic,Benzylic,Vinyl_or_Alkynyl,Has_b_EWG_strong,Has_b_EWG_weak,Has_a_Nitrile,Carboxylic_acid,Nitrosamine,Nitrosoamide,ring_size_8_plus,Nitrosourea,Nitrosoamidine,Nitrosocarbamate,Nitrosoguanidine,Nitrosated_primary_amine,Nitramine,Nitrosohydroxylamine,Nitroso_sulphonamide,pKaH of parent amine,activated feature,deactivated feature,overall potency category,Average Mass,CAS (Unique concatenate),CAS (Count),calculate_score
Row1510,ClC=2C=CC=3NC(CN(C(OCC=O)(C=1C=CC=CC=1Cl)C=3C=2)N=O)=O,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.552845569,1,0,potent feature,394.2093446,,0,4
Row1511,Fc1ccc(cc1)-n3c2CCN(Cc2c4cc(F)ccc34)N=O,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.445957553,1,0,potent feature,313.302061,,0,2
Row1512,FC=2C(N(N=O)C=1C=CC(Br)=CC=1Cl)=C(C=C3N(C)C=NC=23)C(NOCCO)=O,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-7.854857604,0,1,potency-reducing feature,486.679686,,0,
Row1513,FC=3C=C(Br)C=CC=3N(N=O)C=1C(F)=C2N=CN(C)C2=CC=1C(NOCCO)=O,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-7.238407326,0,1,potency-reducing feature,470.2251516,,0,
Row1514,[H][C@@]1(N(CCN(C1)N=O)c2ccc(C#N)cc2Cl)c3ccc(Cl)cc3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.369338952,0,0,"no features from either list, medium",361.2257738,,0,3
Row1515,ClC(Cl)(Cl)C(O)N1CN(C(C1=O)(c2ccccc2)c3ccccc3)N=O,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.240822515,0,1,potency-reducing feature,414.670818,,0,
Row1516,ClC=1C=CC(NC(CN(CC(O)=O)N=O)=O)=C(C=1)C(=O)C2=CC=CC=C2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,6.183788794,1,1,"both, medium but review",375.7637527,,0,5
Row1517,FC(F)(F)C=2C=C(CN(N=O)C1=NC=C(OCCCC(O)=O)C=N1)C=C(C(F)(F)F)C=2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-2.974387111,1,1,"both, medium but review",452.3085326,,0,6
Row1518,Clc3ccccc3C1=NCC(N(N=O)c2ccc(Br)cc12)COC,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.353731309,0,1,potency-reducing feature,408.6770072,,0,
Row1519,Clc2ccc(N(C)N=O)c(C(=NCC(CO)=O)c1ccccc1Cl)c2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.063154023,1,1,"both, medium but review",380.2258212,,0,2
Row1520,ClC=2C=CC=C(Cl)C=2C(N(N=O)C=1C=C(C)C=CC=1C(C)=O)C(N)=O,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-2.441543449,1,1,"both, medium but review",380.2258212,,0,
Row1521,FC=1C=CC=CC=1C(=O)C=2C=C(Cl)C=CC=2N(C)C(CN(C)N=O)=O,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6.038969747,1,0,potent feature,363.7712868,,0,2
Row1522,Clc1ccc2Sc3ccccc3C=C(OCCN(C)N=O)c2c1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.456250087,1,0,potent feature,346.8315624,,0,1
Row1523,[H][C@]1(CN(C)N=O)[C@@]([H])(C=O)c3cc(Cl)ccc3Oc2ccccc12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.120181046,1,0,potent feature,330.7661804,65576-45-6,1,1
Row1524,[H][C@]1(CN(C)N=O)[C@@]([H])(C=O)c3ccccc3Oc2ccc(Cl)cc12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.998873492,1,0,potent feature,330.7661804,65576-45-6,1,1
Row1525,Clc1ccc2Sc3ccccc3C(=CCCN(C)N=O)c2c1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.951780998,1,0,potent feature,330.8321575,,0,1
Row1526,Clc2ccc3Oc4ccccc4N=C(N1CCN(CC1)N=O)c3c2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.53999372,0,0,"no features from either list, medium",342.7801819,,0,3
Row1527,ClC=1C=CC=2N(C(CN(CCO)N=O)=O)C=3C=CC=CC=3C(NC=2C=1)=O,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5.350629491,1,0,potent feature,374.7789917,,0,3
Row1528,Clc2ccc3Sc4ccccc4N=C(N1CCN(CC1)N=O)c3c2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.497998484,0,0,"no features from either list, medium",358.8455639,,0,3
Row1529,[H][C@]1(N(CCCC1)N=O)[C@@]([H])(O)c2cc(C(F)(F)F)nc3c(C(F)(F)F)cccc23,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.653688175,0,1,potency-reducing feature,407.3109603,,0,6
Row1530,Fc1ccc2Oc3ccccc3C=C(SCCN(C)N=O)c2c1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.356292912,1,0,potent feature,330.377028,71316-84-2,1,1
